,Gene Description,Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
37,AFFX-HUMISGF3A/M97935_3_at (endogenous control),AFFX-HUMISGF3A/M97935_3_at,797,433,1474,415,483,412,383,580,752,606,266,152,778,1490,1680,629,809,524,370,2822,404,153,594,659,753,495,503,647,202,423,295,532,3995,378,372,722,1378,720
43,AFFX-HUMGAPDH/M33197_3_at (endogenous control),AFFX-HUMGAPDH/M33197_3_at,17782,18112,23006,17633,17384,30481,20356,10642,18316,23485,21746,25785,11898,18540,16658,17585,15992,20255,18930,15580,5325,17807,25224,16402,20346,16130,15100,17844,19262,18329,20905,15191,19115,19462,16358,23892,20251,21518
46,AFFX-HSAC07/X00351_3_at (endogenous control),AFFX-HSAC07/X00351_3_at,15774,16959,18285,14245,18323,25364,18106,16885,15693,19625,16241,17558,17520,15493,15027,17843,16608,21275,13835,15428,17866,10551,17883,17002,15190,19025,20134,14595,9529,16207,19257,16767,14859,15535,18960,18111,14434,14254
66,mRNA; clone RES4-22A,AB000460_at,1647,2043,1997,2128,1608,1354,1784,2911,2117,1408,2117,1438,2256,1772,1770,1732,3172,1288,1514,2702,1405,1840,1424,2270,1404,1479,2325,2175,976,1767,1939,1462,2818,2412,1632,1968,2044,1825
88,Proteasome subunit p44.5,AB003102_at,551,739,885,654,756,769,467,1015,842,439,1368,304,881,704,925,480,1160,583,348,1236,326,541,530,791,388,366,627,586,467,684,750,600,742,697,372,806,1145,618
90,Proteasome subunit p27,AB003177_at,588,781,1044,652,999,576,764,614,1321,493,1168,196,637,728,609,647,610,342,278,1296,442,500,412,1043,365,603,859,517,635,857,561,296,790,628,637,779,965,598
106,COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396; F25451; and R31076 containing COX6B and UPKA; genomic sequence,AC002115_cds1_at,2236,5198,4263,3083,3569,2832,2478,2905,4693,3191,3621,3397,2711,3055,4572,3307,5055,2585,2288,7634,1310,2063,2538,3440,3634,3334,2960,3001,3392,5942,2919,1734,2320,3766,2269,4232,3275,3247
143,Dolichol monophosphate mannose synthase (DPM1) mRNA; partial cds,AF007875_at,260,362,400,361,389,156,283,203,310,265,309,201,544,282,461,373,258,269,264,1157,778,187,155,600,156,127,292,279,310,441,275,156,229,209,108,262,300,268
169,PROTEASOME COMPONENT C8,D00762_at,645,782,1119,770,1202,444,677,337,688,570,802,334,1097,685,857,622,455,654,471,1694,590,286,368,1072,242,240,574,630,677,676,570,479,964,419,331,521,741,543
170,GAPD Glyceraldehyde-3-phosphate dehydrogenase,D00763_at,1324,2304,2677,1415,2076,953,1513,922,3039,1619,1113,632,3365,1781,1907,2398,1405,794,2089,6521,2912,500,972,2411,470,1509,1855,814,1076,1361,1161,660,474,815,714,1104,673,546
190,ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR,D13118_at,3245,2925,4093,3827,3814,3070,3540,3731,3821,2746,2481,2940,3016,3406,2834,2459,3480,1794,2806,5163,2516,3133,2564,3124,2271,2477,3683,3685,1625,3103,3971,3198,3365,3900,3772,4398,3449,3415
195,DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,D13370_at,2028,1732,2519,2650,3255,1666,1429,1430,3079,1349,2176,926,2566,2329,2288,1962,2755,1335,1665,5912,1569,1615,1130,3047,1061,1396,1699,1933,1475,2065,2256,1081,1399,1538,1322,781,1395,1090
201,KIAA0005 gene,D13630_at,667,951,1119,596,786,295,589,533,1277,510,705,432,651,631,523,518,467,231,228,2299,1512,525,459,971,369,285,686,493,470,759,625,453,775,384,317,512,1013,240
225,40S RIBOSOMAL PROTEIN S23,D14530_at,16642,15527,19494,18849,20259,11800,19387,14498,18727,18364,18050,17432,17886,16647,17094,18770,18647,16456,20801,21417,26343,18051,11568,19439,15739,19919,20597,19129,14753,19635,14925,15405,22571,21372,17870,16587,18009,16184
231,KIAA0105 gene,D14661_at,437,757,531,352,495,302,253,337,728,582,646,363,1008,215,371,492,243,147,430,1383,234,598,400,554,276,408,359,552,438,808,363,532,467,298,324,561,916,384
233,KIAA0107 gene,D14663_at,438,739,924,399,633,229,536,532,1076,365,837,334,714,585,726,405,992,419,362,1569,1605,610,387,726,264,301,586,488,924,826,596,449,793,482,211,618,1142,708
238,PHOSPHATIDYLSERINE SYNTHASE I,D14694_at,1573,1962,1329,2115,1894,1047,1880,1707,2450,1166,1462,915,2050,1974,2462,1385,7834,1685,1072,3837,3201,1354,1381,2137,1240,1732,1334,1683,1124,1528,1290,1320,1868,2043,1387,2078,1501,1223
240,ATP5A1 ATP synthase; H+ transporting; mitochondrial F1 complex; alpha subunit; isoform 1; cardiac muscle,D14710_at,3343,6088,6293,5603,7437,3903,4587,3656,9100,3494,5865,1557,5968,5759,7729,6312,10082,4801,3915,13742,10179,3221,4797,6125,2097,4167,4013,3982,3810,5512,5585,1470,1563,5276,3253,3844,3203,3378
242,KIAA0026 gene,D14812_at,2890,3286,2687,2051,3018,1394,2039,2087,3351,3110,2534,2374,5315,1582,2774,2979,4795,1844,2545,7252,3089,2004,1658,2403,2193,1675,1841,3415,1270,3478,2162,2318,3297,2478,1315,3234,2466,1230
260,ATP SYNTHASE GAMMA CHAIN; MITOCHONDRIAL PRECURSOR,D16562_at,2452,3874,3827,3429,3758,3289,2809,3037,4866,2847,3456,2914,3928,3485,3333,3205,5436,1911,1913,7819,8736,1812,2127,3533,2432,1435,2617,2003,3371,3794,3882,2425,1644,2487,1885,2601,1968,887
281,60S RIBOSOMAL PROTEIN L23,D21260_at,1400,616,833,1402,1501,286,1529,4601,2108,413,1391,265,2428,1044,1709,2065,1200,1254,1670,15646,970,358,248,1577,207,1422,1669,899,897,1021,566,420,853,916,730,1002,1832,887
288,EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,D21853_at,554,663,670,752,1007,718,789,836,999,739,927,505,883,732,847,446,1923,570,475,1132,887,600,1575,696,665,613,826,949,596,1036,767,570,1051,469,464,845,877,664
290,RPL4 Ribosomal protein L4,D23660_at,10477,18420,11507,17843,19284,12474,10328,10468,17887,16525,18265,14053,14446,18704,17603,18122,16798,15542,15496,23144,15370,11729,13888,17535,14790,12742,15657,15351,14179,17480,16850,14550,10044,18584,10637,10079,18802,17933
292,mRNA; clone HH109 (screened by the monoclonal antibody of insulin receptor substrate-1 (IRS-1)),D23673_at,3617,2103,2419,2573,1983,1925,2407,2743,2037,1490,1545,1523,3525,1638,2487,1458,3099,1347,1582,2966,2318,1785,1607,2634,2501,3545,2465,1823,796,1136,1619,1510,1796,2249,1714,1449,1391,1761
298,Randomly sequenced mRNA,D25274_at,1148,507,1002,1312,1538,622,835,428,1901,274,1288,426,1249,558,1505,759,1010,268,802,2709,1987,732,782,1616,294,665,427,350,849,1689,1411,1066,1200,416,452,1108,1119,699
307,KIAA0038 gene; partial cds,D26068_at,3355,3872,3932,2423,3716,1744,3103,2257,5136,2823,5321,2085,3968,3051,3162,3231,3340,2861,3105,8467,7855,4116,2260,4436,2227,2563,2417,4165,2255,5332,3385,2149,4992,3171,1779,4968,4985,3634
321,Proteasome subunit HsC10-II,D26598_at,1226,2185,2636,2217,2273,1940,1483,1710,3019,2021,2282,1457,2670,1543,3037,2572,2263,1404,2421,4399,2090,1313,1459,1806,1374,2262,1924,1215,1599,2053,2196,1348,1262,1583,1103,2053,1751,1229
322,Proteasome subunit HsC7-I,D26599_at,1703,2474,4609,2396,2610,3255,1969,1812,4808,2385,3764,1740,1416,2555,2702,1561,3059,1555,1233,3004,1684,1115,2196,1977,1128,1705,1735,2447,1367,1993,3139,1293,1404,1638,1320,2543,1602,797
323,PROTEASOME BETA CHAIN PRECURSOR,D26600_at,1647,2361,2667,2162,2867,1484,1586,1368,3509,1239,2893,1406,1421,2277,3015,1484,1512,1845,1074,3505,1059,1305,1367,1466,1475,1446,1725,1937,1346,1783,1811,1763,964,1242,827,1848,1656,1031
325,DB1,D28118_at,225,490,390,387,347,218,411,235,379,206,384,188,569,412,796,212,394,165,194,1061,2102,672,218,572,178,390,278,203,466,547,190,407,511,512,278,295,672,287
338,PSMB6 Proteasome (prosome; macropain) subunit; beta type; 6,D29012_at,1944,1598,2837,2300,1766,2220,2349,2064,2472,1555,1590,1708,1775,1576,1657,1453,893,1024,1369,2461,980,1311,1759,1584,1240,1590,1511,1674,1373,1562,2083,1731,1580,1178,1356,1649,2193,1849
352,EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,D30655_at,3025,6944,3739,3762,5734,2825,4392,2115,4837,4608,1799,2003,5290,3831,4018,3965,6768,2415,3437,12466,7738,3355,2447,5139,5412,2510,1154,3499,1587,4474,1581,2308,2389,4565,2142,3033,2444,2018
363,KIAA0058 gene,D31767_at,3186,3686,4189,2505,3069,1779,2762,2697,4245,1867,4202,1951,3975,3032,3275,2821,2546,1411,2639,7299,7439,3566,2443,4330,1691,3037,1977,2859,3948,4953,2855,4404,4259,3150,1599,5819,6335,3442
